#Gene symbol	#Somatic	#Germline	Total
TP53        	       8	        5	   18
APC         	       6	        6	   17
TERT        	       9	        1	   15
DICER1      	       8	        1	   14
BRAF        	      12	        0	   12
KDM6A       	       7	        0	   12
CUX1        	       6	        0	   11
KRAS        	       6	        0	   11
CTNNB1      	       5	        0	   10
ERBB2       	       5	        0	   10
HRAS        	       2	        3	   10
CDKN2A      	       2	        2	    9
CDKN2A(p14) 	       2	        2	    9
ETV6        	       4	        0	    9
MDM2        	       4	        0	    9
BRCA2       	       3	        5	    8
MLH1        	       4	        4	    8
MYC         	       3	        0	    8
RB1         	       4	        4	    8
RET         	       5	        3	    8
EWSR1       	       7	        0	    7
IGH         	       7	        0	    7
KIT         	       5	        2	    7
PTEN        	       3	        4	    7
ALK         	       5	        1	    6
AXIN1       	       6	        0	    6
BAP1        	       4	        2	    6
CSF3R       	       6	        0	    6
EP300       	       6	        0	    6
MEN1        	       2	        4	    6
MSH2        	       3	        3	    6
NOTCH1      	       6	        0	    6
STK11       	       2	        4	    6
TSC2        	       3	        3	    6
VHL         	       3	        3	    6
ATM         	       1	        4	    5
ERBB3       	       5	        0	    5
NF2         	       3	        2	    5
PMS2        	       0	        5	    5
POLE        	       4	        1	    5
STAG2       	       5	        0	    5
TSC1        	       2	        3	    5
AKT1        	       4	        0	    4
AXIN2       	       3	        1	    4
BIRC3       	       4	        0	    4
BLM         	       0	        4	    4
CDKN1B      	       2	        2	    4
CREBBP      	       4	        0	    4
ETNK1       	       4	        0	    4
GRIN2A      	       4	        0	    4
HNF1A       	       2	        2	    4
JAK2        	       4	        0	    4
MAX         	       3	        1	    4
MSH6        	       1	        3	    4
NBN         	       0	        4	    4
NF1         	       2	        2	    4
NRAS        	       4	        0	    4
PDGFRA      	       3	        1	    4
PDGFRB      	       4	        0	    4
PIK3CA      	       4	        0	    4
PRKAR1A     	       1	        3	    4
PTCH1       	       2	        2	    4
RAD21       	       4	        0	    4
SH2B3       	       4	        0	    4
SMAD4       	       3	        1	    4
TBL1XR1     	       4	        0	    4
TFG         	       4	        0	    4
TPM3        	       4	        0	    4
ABL1        	       3	        0	    3
ARID1A      	       3	        0	    3
ATR         	       2	        1	    3
BCOR        	       3	        0	    3
BCR         	       3	        0	    3
BRCA1       	       1	        2	    3
BRIP1       	       0	        3	    3
CASP8       	       3	        0	    3
CBL         	       3	        0	    3
CCDC6       	       3	        0	    3
CCND1       	       3	        0	    3
CDC73       	       1	        2	    3
CDH1        	       2	        1	    3
DDB2        	       0	        3	    3
EGFR        	       2	        1	    3
ERCC2       	       0	        3	    3
ERCC3       	       0	        3	    3
ERCC4       	       0	        3	    3
ERCC5       	       0	        3	    3
ERG         	       3	        0	    3
FAS         	       3	        0	    3
FBXW7       	       3	        0	    3
FGFR1       	       3	        0	    3
FGFR2       	       3	        0	    3
FGFR3       	       3	        0	    3
FLCN        	       0	        3	    3
HMGA2       	       3	        0	    3
LMO1        	       2	        1	    3
MAP2K1      	       3	        0	    3
MAP2K4      	       3	        0	    3
MDM4        	       3	        0	    3
MECOM       	       3	        0	    3
MET         	       2	        1	    3
NCOA2       	       3	        0	    3
NOTCH2      	       3	        0	    3
NPM1        	       3	        0	    3
PAX5        	       3	        0	    3
PCM1        	       3	        0	    3
PIK3R1      	       3	        0	    3
PMS1        	       0	        3	    3
PTPN11      	       3	        0	    3
RECQL4      	       0	        3	    3
RHOA        	       3	        0	    3
RNF43       	       3	        0	    3
ROS1        	       3	        0	    3
RUNX1       	       3	        0	    3
SPEN        	       3	        0	    3
STAT5B      	       3	        0	    3
STRN        	       3	        0	    3
TFE3        	       3	        0	    3
TNFAIP3     	       3	        0	    3
UBR5        	       3	        0	    3
WRN         	       0	        3	    3
WT1         	       2	        1	    3
XPA         	       0	        3	    3
XPC         	       0	        3	    3
ACSL6       	       2	        0	    2
AFF3        	       2	        0	    2
AKT2        	       2	        0	    2
ARHGAP26    	       2	        0	    2
ARID1B      	       2	        0	    2
ASXL1       	       2	        0	    2
ATF1        	       2	        0	    2
ATRX        	       2	        0	    2
BCL2        	       2	        0	    2
BCL6        	       2	        0	    2
C15orf65    	       2	        0	    2
CALR        	       2	        0	    2
CCND2       	       2	        0	    2
CD274       	       2	        0	    2
CDKN2C      	       2	        0	    2
CEBPA       	       2	        0	    2
CIC         	       2	        0	    2
CIITA       	       2	        0	    2
CLTC        	       2	        0	    2
CNTRL       	       2	        0	    2
COL1A1      	       2	        0	    2
COL2A1      	       2	        0	    2
CREB1       	       2	        0	    2
CRLF2       	       2	        0	    2
CYLD        	       1	        1	    2
DAXX        	       2	        0	    2
DCTN1       	       2	        0	    2
ERC1        	       2	        0	    2
ETV1        	       2	        0	    2
ETV4        	       2	        0	    2
EXT1        	       0	        2	    2
EXT2        	       0	        2	    2
FANCA       	       0	        2	    2
FANCC       	       0	        2	    2
FANCD2      	       0	        2	    2
FANCE       	       0	        2	    2
FANCF       	       0	        2	    2
FANCG       	       0	        2	    2
FGFR1OP     	       2	        0	    2
FH          	       0	        2	    2
FLT3        	       2	        0	    2
FOXA1       	       2	        0	    2
GOLGA5      	       2	        0	    2
HIP1        	       2	        0	    2
IGK         	       2	        0	    2
IKZF1       	       2	        0	    2
IL7R        	       2	        0	    2
JAK3        	       2	        0	    2
KDR         	       2	        0	    2
KIF5B       	       2	        0	    2
KLF6        	       2	        0	    2
KMT2A       	       2	        0	    2
KMT2D       	       2	        0	    2
LPP         	       2	        0	    2
MALAT1      	       2	        0	    2
MAP2K2      	       2	        0	    2
MN1         	       2	        0	    2
MPL         	       1	        1	    2
NAB2        	       2	        0	    2
NFE2L2      	       2	        0	    2
NFIB        	       2	        0	    2
NTRK1       	       2	        0	    2
NTRK3       	       2	        0	    2
NUP214      	       2	        0	    2
P2RY8       	       2	        0	    2
PBRM1       	       2	        0	    2
PBX1        	       2	        0	    2
PDCD1LG2    	       2	        0	    2
PER1        	       2	        0	    2
PHOX2B      	       1	        1	    2
PICALM      	       2	        0	    2
PLAG1       	       2	        0	    2
PML         	       2	        0	    2
PPFIBP1     	       2	        0	    2
PRDM16      	       2	        0	    2
PRF1        	       0	        2	    2
RAC1        	       2	        0	    2
RAF1        	       2	        0	    2
RALGDS      	       2	        0	    2
RMI2        	       2	        0	    2
RPL22       	       2	        0	    2
RUNDC2A     	       2	        0	    2
SBDS        	       0	        2	    2
SDHB        	       0	        2	    2
SDHC        	       0	        2	    2
SDHD        	       0	        2	    2
SETBP1      	       1	        1	    2
SMARCA4     	       2	        0	    2
SMARCB1     	       1	        1	    2
SOCS1       	       2	        0	    2
SOX2        	       2	        0	    2
SPOP        	       2	        0	    2
SRSF2       	       2	        0	    2
STAT3       	       1	        1	    2
STAT6       	       2	        0	    2
SUFU        	       1	        1	    2
SYK         	       2	        0	    2
TAF15       	       2	        0	    2
TPR         	       2	        0	    2
TSHR        	       1	        1	    2
U2AF1       	       2	        0	    2
ZNF198      	       2	        0	    2
ZRSR2       	       2	        0	    2
ABI1        	       1	        0	    1
ABL2        	       1	        0	    1
ACKR3       	       1	        0	    1
ACSL3       	       1	        0	    1
ACVR1       	       1	        0	    1
AFF1        	       1	        0	    1
AFF4        	       1	        0	    1
AKAP9       	       1	        0	    1
ALDH2       	       1	        0	    1
AMER1       	       1	        0	    1
ARHGEF12    	       1	        0	    1
ARID2       	       1	        0	    1
ARNT        	       1	        0	    1
ASPSCR1     	       1	        0	    1
ATIC        	       1	        0	    1
ATP1A1      	       1	        0	    1
ATP2B3      	       1	        0	    1
BCL10       	       1	        0	    1
BCL11A      	       1	        0	    1
BCL11B      	       1	        0	    1
BCL3        	       1	        0	    1
BCL5        	       1	        0	    1
BCL7A       	       1	        0	    1
BCL9        	       1	        0	    1
BMPR1A      	       0	        1	    1
BRD3        	       1	        0	    1
BRD4        	       1	        0	    1
BTG1        	       1	        0	    1
BUB1B       	       0	        1	    1
C12orf9     	       1	        0	    1
C2orf44     	       1	        0	    1
CACNA1D     	       1	        0	    1
CAMTA1      	       1	        0	    1
CANT1       	       1	        0	    1
CARD11      	       1	        0	    1
CARS        	       1	        0	    1
CASC5       	       1	        0	    1
CBFA2T3     	       1	        0	    1
CBFB        	       1	        0	    1
CBLB        	       1	        0	    1
CBLC        	       1	        0	    1
CCNB1IP1    	       1	        0	    1
CCND3       	       1	        0	    1
CCNE1       	       1	        0	    1
CD74        	       1	        0	    1
CD79A       	       1	        0	    1
CD79B       	       1	        0	    1
CDH11       	       1	        0	    1
CDK12       	       1	        0	    1
CDK4        	       0	        1	    1
CDK6        	       1	        0	    1
CDX2        	       1	        0	    1
CEP89       	       1	        0	    1
CHCHD7      	       1	        0	    1
