#Molecules	Sample 1	Sample 2	Sample 3	Sample 4
C00001    	     6.7	     6.8	     7.5	     7.1
C00002    	     7.1	     7.1	     7.0	     7.0
C00003    	     6.2	     6.4	     5.7	     6.6
C00004    	     9.9	     9.9	     9.5	     9.7
C00005    	    12.6	    12.5	    12.4	    12.5
C00006    	    12.3	    12.2	    12.0	    12.1
C00007    	     9.7	     9.5	     9.2	     9.1
C00008    	    12.3	    12.3	    12.3	    12.4
C00009    	    10.0	     9.9	     8.8	     9.5
C00010    	    11.9	    11.9	    11.5	    11.9
C00011    	    12.1	    12.0	    11.9	    11.9
C00012    	    10.0	    10.2	     9.5	     9.9
C00013    	    12.4	    12.4	    12.2	    12.3
C00014    	    12.6	    12.3	    12.3	    12.4
C00015    	    11.8	    11.8	    11.5	    11.7
C00016    	    12.5	    12.5	    12.3	    12.4
C00017    	    10.4	    10.4	     9.8	    10.3
C00018    	    10.2	    10.2	     9.7	    10.0
C00019    	     9.2	     9.1	     8.9	     9.2
C00020    	     8.8	     9.1	     8.3	     9.2
C00021    	    10.3	    10.3	     9.7	    10.1
C00022    	     9.5	     9.4	     8.5	     9.4
C00023    	    11.5	    11.4	    11.2	    11.4
C00024    	     8.6	     8.6	     8.2	     8.4
C00025    	    10.8	    10.8	    10.1	    10.4
C00026    	    12.7	    12.7	    12.6	    12.6
C00027    	    11.5	    11.5	    11.4	    11.3
C00028    	    13.0	    13.0	    13.0	    13.0
C00029    	    10.2	    10.3	     9.9	    10.0
C00030    	    10.2	    10.5	    10.0	    10.3
C00031    	     8.7	     8.2	     6.7	     7.9
C00032    	     9.2	     9.2	     8.5	     8.7
C00033    	     6.7	     6.2	     5.7	     5.9
C00034    	     5.9	     5.9	     4.4	     5.3
C00035    	     9.4	     9.6	     9.0	     9.1
C00036    	    10.0	    10.1	     9.6	     9.8
C00037    	     7.4	     7.3	     6.7	     7.2
C00038    	    11.7	    11.7	    11.5	    11.8
C00039    	    11.7	    11.6	    11.4	    11.6
C00040    	    10.5	    10.3	     9.9	    10.3
C00041    	     4.0	     3.6	     4.3	     4.3
C00042    	     4.3	     4.4	     4.1	     4.3
C00043    	     8.1	     8.2	     6.3	     7.4
C00044    	     8.9	     8.9	     8.5	     8.8
C00045    	     9.3	     9.2	     9.0	     9.4
C00046    	    10.4	    10.5	    10.1	    10.3
C00047    	    10.0	     9.9	     9.6	     9.8
C00048    	     8.1	     8.4	     7.9	     8.1
C00049    	    12.4	    12.4	    12.4	    12.4
C00050    	    12.9	    13.0	    12.9	    12.8
C00051    	    13.0	    12.9	    13.0	    13.1
C00052    	     6.0	     5.9	     6.0	     6.4
C00053    	    12.7	    12.5	    12.5	    12.5
C00054    	     9.5	     9.4	     9.0	     9.1
C00055    	    10.5	    10.6	     9.9	    10.5
C00058    	    12.2	    12.1	    12.0	    12.0
C00059    	     9.7	     9.6	     8.0	     9.5
C00060    	     9.1	     8.9	     8.4	     8.3
C00061    	    10.9	    11.2	    10.4	    10.7
C00062    	    12.4	    12.4	    12.2	    12.2
C00063    	    11.2	    11.1	    10.8	    11.1
C00064    	    11.6	    11.8	    11.5	    11.5
C00065    	    11.1	    11.1	    10.8	    10.9
C00066    	     7.6	     7.6	     7.6	     7.8
C00067    	    12.9	    12.8	    12.8	    12.9
C00068    	     9.8	     9.4	     9.0	     9.4
C00069    	    12.7	    12.7	    12.5	    12.6
C00070    	    10.2	    10.1	     9.6	     9.8
C00071    	     5.3	     5.8	     4.7	     5.0
C00072    	    10.9	    11.1	    10.7	    10.9
C00073    	    12.3	    12.4	    12.2	    12.1
C00074    	    11.4	    11.3	    10.9	    11.1
C00075    	    12.3	    12.3	    12.1	    12.2
C00076    	    12.1	    12.0	    11.9	    11.9
C00077    	    10.2	     9.9	     9.2	     9.7
C00078    	     9.5	     9.3	     8.8	     9.1
C00079    	    11.4	    11.5	    11.3	    11.3
C00080    	    12.2	    12.2	    12.0	    12.2
C00081    	    10.5	    10.1	     9.7	    10.0
C00082    	    12.0	    12.0	    11.8	    11.9
C00083    	     8.4	     8.3	     7.1	     8.1
C00085    	     8.8	     8.8	     8.3	     8.7
C00086    	     6.5	     6.4	     6.4	     6.2
C00088    	     7.3	     7.1	     6.9	     7.1
C00090    	     9.0	     9.3	     8.6	     8.5
C00091    	     9.2	     9.5	     8.8	     9.0
C00092    	     9.3	     9.2	     8.6	     9.2
C00093    	     9.3	     9.3	     9.0	     9.1
C00094    	    11.9	    12.0	    11.7	    11.7
C00095    	     6.1	     6.2	     5.5	     6.4
C00096    	     9.1	     9.3	     8.2	     9.4
C00097    	     4.7	     4.5	     5.4	     5.2
C00098    	     9.2	     9.0	     8.8	     8.9
C00099    	     8.3	     8.4	     7.7	     8.4
C00100    	    10.1	    10.1	     9.3	     9.8
C00101    	     9.2	     9.4	     8.7	     8.9
C00103    	     8.2	     7.9	     7.0	     7.7
C00105    	     6.9	     7.3	     6.4	     6.8
C00106    	     7.3	     7.6	     6.1	     6.9
C00108    	     8.7	     8.8	     7.1	     8.4
C00109    	     7.4	     7.3	     5.7	     6.7
C00111    	    11.8	    11.8	    11.5	    11.8
C00112    	     9.9	     9.6	     8.6	     9.7
C00113    	    13.2	    13.2	    13.1	    13.2
C00114    	     8.2	     8.0	     8.2	     8.2
C00115    	     6.1	     6.3	     5.3	     6.1
C00116    	     8.3	     8.9	     7.8	     8.6
C00117    	     8.3	     8.1	     7.9	     8.1
C00118    	     5.5	     5.7	     4.9	     5.7
C00119    	     8.1	     8.4	     7.7	     8.1
C00120    	     8.6	     8.3	     8.2	     8.4
C00121    	     7.9	     7.2	     6.9	     8.0
C00122    	     9.6	     9.5	     9.2	     9.4
C00123    	     7.8	     8.0	     7.7	     7.8
C00124    	     9.3	     9.1	     9.0	     9.1
C00125    	     8.9	     8.8	     8.5	     8.4
C00126    	    10.4	    10.5	    10.3	    10.4
C00127    	     9.1	     8.9	     8.6	     8.8
C00129    	     8.4	     8.3	     8.7	     8.2
C00130    	     5.2	     5.5	     6.7	     5.7
C00131    	     5.9	     6.2	     7.2	     6.2
C00132    	     4.7	     4.9	     4.9	     5.0
C00133    	     3.5	     3.6	     3.3	     3.3
C00134    	    11.0	    10.8	    10.4	    10.9
C00135    	     8.1	     8.3	     7.5	     8.2
C00136    	     8.7	     8.8	     8.5	     8.7
C00137    	     9.0	     8.9	     7.6	     8.7
C00138    	     9.1	     8.8	     8.1	     9.0
C00139    	     6.2	     6.3	     4.7	     6.1
C00140    	     6.0	     5.9	     4.3	     5.4
C00141    	     9.8	     9.8	     9.5	     9.8
C00143    	     8.7	     8.5	     8.2	     8.4
C00144    	     6.5	     6.7	     6.0	     6.2
C00145    	     9.9	     9.9	     9.8	     9.9
C00146    	    12.6	    12.5	    12.5	    12.6
C00147    	     8.0	     8.0	     7.5	     7.9
C00148    	     6.7	     7.1	     6.3	     7.1
C00149    	     6.9	     6.5	     7.3	     6.6
C00150    	     9.8	     9.6	     9.0	     9.7
C00151    	     9.0	     9.4	     9.1	     9.4
C00152    	    10.0	     9.8	     9.0	     9.5
C00153    	    12.5	    12.5	    12.4	    12.4
C00155    	     8.9	     9.2	     8.4	     8.6
C00156    	     9.5	     9.5	     8.6	     9.3
C00157    	     8.4	     8.4	     7.6	     7.9
C00158    	    12.1	    12.1	    11.9	    12.0
C00161    	     9.3	     9.3	     8.6	     8.9
C00162    	     8.1	     8.3	     7.9	     7.9
C00165    	     3.7	     3.8	     4.3	     3.5
C00166    	     7.3	     7.3	     7.2	     7.2
C00167    	     8.1	     8.4	     7.9	     7.7
C00168    	    10.1	    10.1	     9.7	     9.7
C00170    	     9.3	     9.3	     8.9	     9.3
C00171    	    11.5	    11.5	    11.1	    11.4
C00172    	    10.0	    10.0	     9.5	     9.5
C00173    	     6.2	     6.4	     6.5	     6.7
C00174    	     7.6	     7.5	     7.7	     7.3
C00175    	     6.8	     6.4	     6.9	     6.4
C00176    	    10.4	    10.5	     9.9	    10.3
C00177    	    11.2	    11.3	    11.1	    11.2
C00178    	    10.1	    10.1	     9.3	    10.0
C00180    	     8.3	     8.7	     8.2	     8.3
C00182    	     7.0	     7.4	     6.7	     7.1
C00183    	     8.7	     8.7	     7.7	     8.5
C00184    	     7.7	     7.9	     7.2	     7.7
C00185    	     8.1	     8.0	     7.1	     7.6
C00186    	     8.5	     8.5	     7.8	     8.4
C00187    	    10.4	    10.4	    10.0	    10.3
C00188    	     9.2	     9.7	     9.1	     9.3
C00191    	     7.6	     7.8	     7.5	     7.7
C00192    	     7.0	     6.8	     6.4	     7.0
C00194    	     9.2	     9.4	     8.2	     8.5
C00195    	     5.0	     4.7	     4.3	     4.1
C00197    	     6.5	     6.0	     5.4	     5.6
C00198    	     7.9	     7.9	     7.4	     7.6
C00199    	     9.9	     9.9	     9.4	     9.8
C00201    	     8.7	     8.9	     8.2	     8.6
C00205    	     8.7	     8.6	     7.9	     8.7
C00208    	     9.0	     8.6	     7.7	     8.4
C00209    	     7.9	     8.0	     7.7	     7.8
C00211    	     7.9	     7.9	     7.4	     7.8
C00212    	     7.2	     7.3	     7.3	     7.2
C00213    	     7.8	     7.7	     8.1	     7.7
C00214    	     6.8	     7.3	     6.5	     7.3
C00217    	     7.2	     7.5	     7.3	     7.2
C00218    	     7.7	     7.7	     6.6	     7.2
C00221    	     8.5	     8.6	     7.8	     8.1
C00223    	     9.6	     9.7	     8.7	     9.3
C00224    	     8.8	     8.5	     8.6	     8.5
C00226    	     8.7	     8.8	     8.6	     8.3
C00227    	     8.4	     8.5	     8.1	     8.4
C00229    	     8.4	     8.6	     8.2	     8.2
C00230    	    11.3	    11.2	    10.7	    11.1
C00231    	     7.4	     7.6	     6.3	     7.2
C00232    	    11.5	    11.5	    11.2	    11.5
C00233    	     8.2	     8.4	     7.4	     7.9
C00234    	     7.2	     7.5	     7.4	     7.7
C00235    	     7.3	     7.8	     7.1	     7.7
C00236    	     6.9	     6.3	     7.4	     7.1
C00237    	     7.7	     7.9	     7.3	     7.6
C00238    	    12.7	    12.7	    12.6	    12.6
C00239    	     7.6	     7.8	     7.4	     7.6
