#Probeset  	10h_control	      10h	      14h	      18h	      24h
1053_at    	   8.040078	 7.147358	 6.706705	 6.794622	 7.475157
1729_at    	   6.869688	  6.99104	 7.129922	 7.112222	  7.04721
1861_at    	   6.437999	 6.620092	  6.20117	 6.407735	 5.717815
200000_s_at	   9.381569	 9.710802	 9.874874	 9.934639	 9.495911
200002_at  	  12.555275	12.511045	12.564419	12.538642	12.439174
200003_s_at	  12.401259	12.054083	12.275169	12.206342	12.015476
200005_at  	   9.609852	 9.099299	  9.73072	 9.530097	 9.194303
200012_x_at	  12.486269	12.402275	12.302666	12.256543	12.282444
200014_s_at	  10.371458	 9.548578	 9.978313	 9.871472	 8.753136
200016_x_at	  12.110468	11.913288	11.938524	11.899243	11.458105
200022_at  	  12.205038	11.927471	12.064725	12.031422	11.932256
200023_s_at	  10.377248	 9.902753	 9.990862	10.248412	 9.513486
200024_at  	   12.61513	12.313568	12.422621	12.368137	12.170793
200032_s_at	  12.364917	12.360961	12.563211	12.341325	12.278704
200034_s_at	  11.802912	  11.6947	11.817369	11.803903	11.527011
200038_s_at	  12.392395	12.374603	 12.46662	12.454694	12.308414
200039_s_at	  10.485458	10.341033	10.429499	10.380328	 9.810715
200044_at  	  10.247336	 9.962542	10.192532	10.242334	 9.744894
200055_at  	    9.07401	 9.222119	 9.199404	 9.139204	 8.863206
200058_s_at	   9.318615	 9.225199	 8.837598	 9.133667	 8.325186
200072_s_at	  10.071107	10.114123	10.320903	 10.31761	 9.747738
200073_s_at	  10.187198	  9.39046	 9.547218	 9.403993	 8.502351
200074_s_at	  11.582639	11.400419	11.534432	11.434419	11.186178
200075_s_at	   8.734979	 8.425099	 8.552273	 8.624309	 8.204209
200085_s_at	  10.652049	10.416173	10.818984	10.760781	10.103269
200088_x_at	  12.654908	12.612557	 12.66021	12.704733	 12.57435
200089_s_at	  11.457794	11.294325	11.514968	11.546102	11.378893
200095_x_at	  13.135348	12.981857	13.017407	13.037759	12.992211
200593_s_at	   10.15048	10.046418	10.185244	10.276272	 9.879428
200594_x_at	  11.057244	10.332014	10.219037	10.505096	 9.985802
200595_s_at	   9.331758	 7.902866	 8.696503	 8.214131	 6.715684
200596_s_at	   8.897148	 8.746212	 9.196672	 9.247983	 8.523407
200597_at  	   7.465769	 5.859137	  6.66313	 6.224449	 5.668913
200602_at  	   7.430367	 5.291534	 5.861905	 5.942676	 4.427947
200619_at  	   9.278084	 9.080628	  9.43743	 9.594238	 8.966424
200647_x_at	  10.053748	 9.764065	 9.956249	10.051188	 9.581428
200648_s_at	   8.034924	 7.221011	 7.436279	 7.335784	 6.715836
200650_s_at	  12.012366	11.778109	11.667695	11.738708	11.483623
200657_at  	  11.665229	 11.55971	11.652719	11.585351	11.355869
200663_at  	  10.607618	10.317579	 10.48448	10.274971	  9.86335
200665_s_at	   3.604601	 4.284063	 4.043229	 3.649949	 4.252282
200685_at  	   5.510457	 4.320441	 4.261375	 4.357433	 4.148182
200686_s_at	   8.982707	 7.440836	 8.055333	 8.157718	 6.349062
200687_s_at	   9.175758	  8.81534	 8.874751	 8.892938	 8.495948
200697_at  	   9.502978	 9.360075	 9.331225	 9.173588	 8.985547
200703_at  	  10.921833	10.342357	10.430411	10.525991	10.147492
200708_at  	  10.266277	 9.774548	10.001105	 9.869204	 9.576961
200710_at  	    8.15654	 8.129258	 8.118218	 8.392352	 7.863261
200715_x_at	   12.37566	 12.41865	12.442644	12.442644	12.407518
200716_x_at	  13.077506	 12.83886	12.929306	12.996513	12.939079
200717_x_at	  13.118915	13.051355	 12.97638	 12.92233	13.028441
200724_at  	   5.850982	 6.376134	 5.981928	 5.857011	 5.990787
200725_x_at	  12.466302	 12.48559	12.671572	12.498051	 12.52439
200737_at  	   9.418959	 9.106823	 9.461665	 9.400704	 9.037388
200738_s_at	  10.949746	 10.48066	10.526778	10.568761	 9.935766
200741_s_at	   12.20564	12.027277	12.183245	12.115343	12.044843
200751_s_at	   9.802159	 9.510632	 9.650587	 9.583433	  7.96041
200753_x_at	   9.461396	 8.250334	 9.113604	 8.909648	 8.380017
200754_x_at	  11.126603	10.669419	10.898212	11.161469	10.428004
200763_s_at	   12.29853	12.196243	12.409692	12.383461	12.238283
200786_at  	  11.255881	11.060175	11.150428	11.096829	10.795571
200790_at  	  11.623198	 11.51393	11.619495	11.757585	11.477291
200792_at  	  11.095516	10.888019	11.110119	11.066331	10.830563
200793_s_at	   7.723288	 7.805126	  7.58307	  7.64947	 7.606211
200809_x_at	  12.928271	12.913048	12.905089	 12.83471	12.849936
200814_at  	    9.80782	  9.37717	  9.75135	 9.387731	 8.994738
200817_x_at	    12.5952	12.593261	12.692074	12.668727	12.504117
200820_at  	  10.072635	 9.848983	10.187658	10.064907	 9.623905
200821_at  	   7.054912	  5.04263	 5.275529	 5.752721	 4.653767
200822_x_at	  10.975751	  10.8606	10.939419	11.094816	10.663512
200823_x_at	  12.221147	12.093231	12.265398	12.409313	12.162762
200830_at  	   11.13852	11.086037	 11.35615	11.263503	10.915203
200834_s_at	  12.151812	12.201485	12.330436	12.313852	12.128307
200869_at  	  11.999598	11.870645	 12.05733	11.996391	11.909312
200876_s_at	  10.308496	 9.739537	10.198298	 9.860938	 9.218792
200882_s_at	   9.417151	 9.129101	 9.462504	  9.32657	 8.789662
200886_s_at	  11.590258	11.315353	11.412123	11.461226	  11.3205
200909_s_at	  12.106321	12.169443	12.161182	12.179997	11.992884
200912_s_at	  10.472565	10.013663	10.538056	10.149099	 9.669395
200937_s_at	  11.935951	 11.87734	12.027694	11.959872	11.768667
200946_x_at	   8.845966	 8.146341	 8.369288	 8.335673	  7.13174
200947_s_at	   9.566049	 8.688041	 8.788195	 8.802043	 8.283363
200951_s_at	   6.924514	 6.168954	 6.499617	 6.399584	 6.422875
200952_s_at	   8.337801	 7.110314	 7.340873	 7.149843	 6.881352
200953_s_at	   9.523925	  8.46348	 9.006006	 9.314747	 8.555541
200956_s_at	   8.960286	 9.042873	 9.164509	 9.468306	 8.784022
200957_s_at	   9.244761	 9.177374	 9.263119	 9.162461	 8.597288
200959_at  	   8.907104	 9.061049	 9.319505	 9.337607	 9.047713
200966_x_at	  11.714049	11.711204	11.925901	12.048988	11.732409
200979_at  	   7.098147	 6.368782	 6.114374	 6.221928	 5.507871
200980_s_at	   9.230633	 9.423938	  9.13345	 9.333907	 8.189258
200986_at  	   4.169192	 5.166758	 4.671264	  4.45876	 5.444096
201005_at  	   9.674585	 8.873136	  9.21616	  9.04838	 8.755448
201007_at  	   9.152489	 8.438698	 8.347019	 8.397317	 7.723497
201013_s_at	  10.598758	 9.801981	10.079178	10.070469	 9.267285
201014_s_at	   10.13169	 8.892452	 9.180611	 9.386557	  8.69233
201016_at  	   9.569518	 7.661318	 8.223201	 7.898378	 7.035055
201017_at  	   7.973725	 6.758964	 6.886201	 7.262316	 6.422963
201018_at  	   8.419296	 6.901609	  7.29701	 7.567537	 6.050494
201019_s_at	   9.741825	 8.382146	 8.746769	 8.811338	 7.146364
201023_at  	   8.617317	 6.655237	 7.417613	 7.261889	 5.710423
201030_x_at	  11.982086	11.763823	11.826708	11.762612	11.528636
201031_s_at	  10.594731	 9.674178	 9.884453	 9.599683	 8.619409
201033_x_at	  13.505858	13.186618	13.209172	13.244149	13.111189
201035_s_at	   8.463468	 8.212575	 8.160293	 7.978711	 8.235969
201036_s_at	   7.373863	 6.124456	 6.089949	  6.28854	 5.308414
201037_at  	   8.623412	 8.596825	 8.295017	 8.934627	 7.812222
201052_s_at	   8.616374	 8.138566	 8.253929	 8.079704	 7.903125
201053_s_at	   6.725302	 5.745743	 5.520241	  5.72619	 4.943098
201054_at  	   9.308566	  8.11519	 8.065289	 8.421175	 7.691709
201055_s_at	   7.178774	 8.443836	 8.566161	 8.264485	   8.2245
201067_at  	   8.254658	 7.955338	  7.91645	 7.224132	  6.85742
201068_s_at	   9.939707	 9.429454	 9.628591	 9.536729	 9.228681
201070_x_at	   8.710159	 7.806623	 7.830044	  8.04764	 7.730144
201071_x_at	    9.64522	  9.08175	 9.286762	 9.054866	 9.011381
201076_at  	    8.79749	 8.373825	 8.905333	 8.763581	 8.505765
201077_s_at	  10.638937	10.408836	10.381274	10.546793	10.337028
201093_x_at	    8.67209	 8.830175	  9.06192	 8.873828	 8.599923
201102_s_at	   7.220062	 8.210014	 8.368021	 8.254779	 8.652242
201107_s_at	   5.180806	 5.673723	 5.232664	 5.465181	 6.658353
201108_s_at	   6.156082	 6.185501	 5.862543	 6.235976	  7.23841
201109_s_at	   4.397317	 4.959122	 4.667545	 4.939211	 4.869395
201110_s_at	   3.132421	 3.251601	 3.528262	 3.637983	 3.319552
201114_x_at	  10.914324	10.901967	10.951559	10.849431	10.361496
201115_at  	   8.232027	 8.210654	  8.08945	 8.298867	 7.459761
201118_at  	   9.098291	 8.670028	 8.739764	 8.822142	 8.475341
201127_s_at	    8.55848	 8.695215	 9.047193	 8.867749	 7.645967
201128_s_at	  10.138989	 8.993547	  9.08733	 8.759354	 8.064415
201129_at  	   8.126758	 6.079218	 6.150753	  6.29861	 4.701116
201132_at  	   7.726437	 5.400537	 6.046715	 5.895525	 4.322797
201135_at  	   9.815336	 9.757032	  9.81032	 9.798688	 9.456423
201142_at  	   8.800846	 8.416252	 8.683638	    8.511	 8.176097
201143_s_at	   7.599705	 6.150793	 6.546611	 6.747275	 6.000284
201144_s_at	  10.281545	 9.851864	 9.902806	 9.941353	 9.804765
201154_x_at	  12.564966	12.556703	12.606506	12.539504	12.513578
201157_s_at	   8.797826	 7.892052	 8.048127	 7.967387	  7.53218
201158_at  	   7.250496	 7.087612	  6.70385	 7.099004	 6.283792
201159_s_at	   7.001465	 6.647226	 6.862299	 6.539381	  7.31238
201198_s_at	   9.788193	 9.673986	 9.773343	 9.638276	 8.966852
201199_s_at	   9.409616	 9.364183	  8.99937	 9.399276	  9.07054
201202_at  	  10.284026	 9.502253	  9.97292	 9.765613	 8.987297
201217_x_at	  12.450461	12.373907	12.453261	12.496526	12.400524
201221_s_at	   8.758148	 8.609464	 8.859495	 9.179463	 8.446689
201222_s_at	  10.256486	 9.292579	 9.514869	 9.521988	 8.571337
201223_s_at	    9.48575	 7.909938	 8.443942	 8.435371	 7.555983
201231_s_at	  12.152119	11.979027	12.083862	12.066412	11.870158
201232_s_at	   9.105732	 8.890251	 9.299989	 9.290018	  8.58031
201233_at  	   7.647478	  7.92123	  8.13889	 8.331896	 7.947984
201249_at  	   4.115727	 3.517198	 3.692821	 3.769834	 4.259397
201250_s_at	   7.883127	 7.175516	 7.262309	 7.347226	 7.154256
201252_at  	    8.43982	 7.709285	 8.106951	 8.401384	 7.856611
201266_at  	  10.215512	 9.660396	 10.06439	 10.05675	 9.658605
201267_s_at	   9.542543	 9.302652	 9.299103	 9.334086	 8.864677
201268_at  	  11.164456	11.408852	11.531263	11.547141	11.136373
201274_at  	  10.029817	 9.523092	 9.958378	 9.996735	 9.474645
201282_at  	   6.293081	 6.688532	 6.236713	 6.375934	 6.546913
201313_at  	   7.780428	 7.254847	 7.608128	  7.53747	  7.66428
201316_at  	   7.634429	 6.407741	 6.780205	 6.418469	 6.906591
201317_s_at	  10.806671	10.261768	10.407493	10.528903	 9.852701
201322_at  	  11.079875	11.223186	11.235967	11.318824	11.089602
201338_x_at	   10.15536	 9.979779	10.052895	10.120224	 9.307206
201356_at  	   8.833263	 8.294073	 8.254484	 8.656633	 8.222078
201357_s_at	   7.199224	 7.113319	 6.985557	 7.360195	 6.737225
201376_s_at	   8.554428	 8.511545	 8.652693	 8.682369	 7.734783
201388_at  	   7.873075	 7.718912	 7.681954	 7.857592	  7.24965
201394_s_at	   7.833167	 7.604464	 8.121611	 8.040552	 7.146293
201395_at  	   8.566889	 8.382968	 8.471253	 8.466485	 7.845982
201400_at  	  10.351745	10.298193	10.393332	10.365543	 9.974465
201404_x_at	   9.075015	 9.310893	 9.230084	  9.72203	 9.095859
201425_at  	   8.423986	 7.694138	 7.628218	 7.753249	 7.528629
201432_at  	   7.899414	 6.950476	 6.964282	 6.764844	 6.432673
201435_s_at	   9.903185	 8.470213	 9.193214	 9.386042	 8.155856
201436_at  	   5.885482	 4.107367	 5.024518	 4.727947	 4.252887
201437_s_at	   8.241485	 5.595114	 6.527848	  5.98401	 5.449894
201440_at  	   7.905156	 7.566424	 7.856427	 7.930089	 7.379544
201463_s_at	    9.95509	 9.792514	 9.850621	 9.861714	 9.414888
201469_s_at	   8.910978	 8.608683	 8.681909	 8.882749	 8.219096
201476_s_at	   9.257237	 8.675714	 8.737518	 8.609994	 7.893563
201477_s_at	   8.967371	 8.436101	  9.00236	 8.554618	 7.676992
201480_s_at	   7.508318	 7.833599	 7.858905	 7.998236	 7.705414
201483_s_at	   8.228716	 7.757162	 7.939844	 7.913256	 7.375431
201484_at  	   7.427704	 7.154908	 7.227203	 7.283913	 7.313101
201509_at  	   7.648695	 7.656252	 7.794074	 7.655859	 8.134369
201517_at  	   7.867889	 7.313724	 6.772304	 7.349587	 6.535792
201521_s_at	   7.498877	 7.159427	  7.19857	  7.51398	 7.275617
201528_at  	   8.847736	 7.235774	 7.710525	 7.696413	 6.629817
201529_s_at	   9.152645	  8.14368	 8.500051	 8.559179	  7.78592
201532_at  	   10.13337	 9.330707	 9.563771	 9.680736	  8.65337
201554_x_at	   8.987565	   8.4922	 8.751822	 8.510156	 8.571229
201555_at  	   9.074728	 8.294017	  8.65098	 8.836891	  8.59408
201571_s_at	   8.725365	 8.400617	 8.433962	 8.534662	 8.126529
201572_x_at	   8.937353	 8.238147	 8.432515	 8.618601	 8.171133
201577_at  	  11.265289	11.130427	 11.31343	  11.2048	 10.71787
201589_at  	   8.977824	 7.231215	 7.380885	 7.626935	 6.335739
201592_at  	  11.313424	11.488948	11.517889	11.497127	11.219188
201599_at  	   9.400362	  7.90137	 8.229792	 8.412925	 7.441435
201612_at  	   8.315994	  7.71728	 7.249478	 7.497609	 7.396256
201632_at  	   8.352928	 7.653628	 7.251649	 7.810645	 7.102353
201638_s_at	   7.021953	 7.117973	 6.920544	 6.305569	 7.404919
201639_s_at	   7.265788	 7.552361	 7.663895	 7.866392	 7.314125
201665_x_at	  12.582804	12.621435	12.651908	12.690933	12.589411
201673_s_at	   7.774215	 7.567967	 7.588059	 7.776212	  7.35166
201676_x_at	   10.71285	10.351996	10.457325	10.423599	 9.868074
201695_s_at	   10.10934	 9.239273	 9.894939	 9.743561	 9.177556
201696_at  	   8.448596	 8.000777	 8.123095	 8.227575	 7.994104
201698_s_at	  10.362538	10.187698	10.301427	10.338579	 9.578656
201700_at  	   9.323472	 9.059151	 8.815511	  8.66447	 8.412637
201705_at  	   8.396815	  7.88927	 7.635615	 7.794326	 6.320804
201741_x_at	    5.61017	 5.987601	 6.079029	 5.683744	 5.522801
201742_x_at	  11.187686	10.148419	10.158106	10.327676	 9.705472
201746_at  	   6.338484	 5.480857	 5.469908	 5.341843	 4.667539
201755_at  	   7.714576	 7.319302	 7.619516	  7.76269	 7.503534
201756_at  	   9.168098	 8.190901	 8.014751	 8.199542	 6.833475
201762_s_at	   9.632824	 9.505289	 9.629675	 9.603183	 8.937943
201770_at  	    9.27723	 8.773639	 9.147847	 9.189717	 8.877075
201786_s_at	   9.061198	 8.797127	 8.868662	 8.999592	 8.525849
201801_s_at	   8.544754	 7.589714	 7.889369	 7.981195	 7.556952
201802_at  	   8.518491	 8.321326	 8.588907	 8.831359	 8.564027
201803_at  	   9.750821	 9.077974	 9.577329	 9.597164	 9.005851
201853_s_at	   7.661163	 7.483095	 7.329913	 7.598551	 7.600092
201890_at  	   9.809316	 8.542762	 8.977514	 8.343866	 8.137845
201892_s_at	  10.028892	 9.985639	10.264938	10.153904	 9.763711
201909_at  	   6.403679	 6.522388	 6.514102	 5.946303	 6.060739
201930_at  	   10.06938	 9.298393	 9.081557	 9.156729	 8.411054
201956_s_at	   8.609735	 8.160418	 7.809345	 7.729076	 7.311516
201968_s_at	   7.831718	 7.478105	 7.374574	 7.213849	  6.89031
202004_x_at	   8.941901	 8.479664	 8.664167	 8.466234	 8.029975
202022_at  	   6.271117	 6.948611	 6.753223	 6.660172	 6.540089
202029_x_at	   12.48684	12.740166	12.559385	12.564844	 12.47966
202069_s_at	   9.203558	 6.996668	 7.395548	 7.488394	 5.494327
202070_s_at	    8.49537	 7.494978	 7.805451	 7.710735	 7.662377
202072_at  	  10.032387	10.069227	10.103996	10.375575	 9.871934
202107_s_at	   9.700528	 8.932011	 9.230084	 9.105625	 8.643113
202112_at  	   4.798375	 4.986948	 4.779835	  4.47295	 5.109824
202144_s_at	   9.375675	   9.0632	 9.266825	 9.241006	 8.367754
202148_s_at	    8.95001	 8.841911	 8.957185	 8.875305	 8.882637
202168_at  	   9.941624	 9.760528	   9.7982	 9.731269	 9.023104
202176_at  	   8.181716	 7.487184	 7.820296	 7.807527	 7.369596
202189_x_at	  10.521021	10.353481	10.261299	10.698409	10.142175
202190_at  	   7.064405	 6.474143	 6.247117	 6.646168	 6.734068
202243_s_at	  10.435428	10.882472	 10.16076	 9.979693	 9.607565
202244_at  	   10.87342	 11.03975	 10.54977	 10.53855	10.193449
202246_s_at	   9.960116	 9.719463	  9.79642	 9.858319	 9.465535
202256_at  	   7.517219	 7.857804	 7.990587	 7.865398	 7.599078
202257_s_at	   8.290225	 7.619197	 8.095162	 8.010769	 8.542187
202275_at  	   7.086871	 6.875227	 6.953473	 7.128171	 6.881813
202282_at  	   9.565957	 9.401927	 9.654738	 9.582455	 9.299996
202310_s_at	   4.091237	 4.320838	 4.595043	 4.532559	 5.555635
202311_s_at	   3.600641	 3.632403	 4.210206	  3.64601	  4.42546
202312_s_at	   6.064498	 7.450878	 7.347675	 7.005764	   7.6474
202320_at  	   7.350054	  7.56165	 7.321435	 7.670811	 7.862608
202325_s_at	  10.001858	 8.853816	 9.020683	 9.373503	 8.672954
202331_at  	   7.508954	 7.476324	 7.670516	 7.663111	 8.075186
202338_at  	   7.607291	 7.205465	 7.337182	 7.309894	  7.35179
202352_s_at	  10.285861	 9.316087	 9.704443	 9.783902	 8.923676
202353_s_at	   9.176255	 7.361629	 7.786393	 7.891028	  6.27238
202354_s_at	    7.52723	 7.555383	 7.369947	  7.09256	 7.701058
202355_s_at	   7.359196	 7.206726	  7.01754	 7.311206	 7.023906
202356_s_at	   7.596173	 6.977725	 7.257154	 7.325833	 7.268685
202366_at  	   7.048069	 7.621792	 7.564083	 7.766646	 7.609786
202403_s_at	   6.210271	 6.481707	 6.385798	 6.388287	 6.562552
202404_s_at	   3.666756	 3.839818	 3.835395	 4.145096	 4.081136
202414_at  	   6.238328	 5.891503	  5.39643	 6.134637	 5.145528
202420_s_at	    9.02678	  9.03271	 9.293335	 9.294401	 9.230291
202447_at  	   8.484899	 7.736798	 7.784062	 7.605101	 6.575379
202451_at  	   8.303954	 6.738435	 7.414878	 7.099654	 5.947617
202453_s_at	   7.888727	 7.603993	  7.37771	 7.826821	 7.162883
202461_at  	   8.415177	  8.18613	 8.208542	 8.073812	 8.174693
202464_s_at	   7.454342	 5.858098	 5.893593	 5.909685	 5.226387
202471_s_at	   8.582943	 7.553993	 7.850763	 7.727763	 8.104654
202497_x_at	   6.843252	 6.958651	 6.510727	 6.785135	 6.789234
202498_s_at	   4.347401	 4.149803	 4.154036	 4.207757	 4.257193
202499_s_at	    5.59512	 4.974858	 4.889228	 5.088668	 5.036275
202502_at  	   8.366006	 6.686038	 7.177685	 7.048649	  5.50323
202505_at  	   9.596732	  8.57365	 9.118913	 9.265683	 7.992212
202528_at  	   6.893757	 6.828359	 6.687467	  7.09256	 7.002642
202535_at  	   8.070701	 7.183623	 7.551967	 7.758085	  6.53697
202587_s_at	   9.124335	 8.682749	 8.994179	 8.904822	 8.483188
202588_at  	   7.011504	 7.231113	 6.951055	  7.14107	 7.173208
202589_at  	  10.675139	10.437658	10.761341	10.586686	  9.96438
202613_at  	   8.821886	  7.96565	 8.063149	 8.204473	 7.885737
202615_at  	   8.036469	 6.483094	 7.169148	 6.949429	  6.18271
202627_s_at	  11.455571	11.201371	11.324769	11.262761	11.002711
202628_s_at	   9.176102	 9.031066	 8.942642	 9.052064	  7.57959
202634_at  	   8.266753	 6.703818	 6.748953	 6.801819	 5.750818
202635_s_at	   9.018778	 8.129263	 8.547847	 8.637679	 7.448158
202649_x_at	  12.121111	11.968592	12.232201	12.210492	12.037908
202659_at  	   7.117909	 7.160999	 7.294334	 7.127833	 6.905619
202675_at  	    8.78782	  8.09117	  8.22279	 8.386766	 7.584855
202678_at  	   9.664592	 8.763221	 9.225722	 8.984698	 7.763868
202680_at  	    7.78858	 6.798879	 7.407716	 7.400299	 7.287634
202683_s_at	   7.119514	 6.992919	 6.919301	 7.063658	 7.486419
202684_s_at	   4.979669	 3.749527	 4.112572	  3.87906	 3.726616
202687_s_at	   3.515453	 4.282026	 3.642569	 4.007067	 4.445091
202688_at  	   3.847998	 3.901953	  4.02623	 3.801661	   3.9817
202692_s_at	   7.016065	  7.21599	 7.027344	 7.307422	 7.016156
202697_at  	   9.339609	 8.051338	 8.162207	 8.239181	 7.168658
202705_at  	   9.097078	 8.315996	 8.070457	 8.652313	 7.438784
202706_s_at	   8.540868	  7.33331	 7.885936	 7.997377	 7.058111
202707_at  	   5.754878	  5.69775	 5.426729	 5.581031	 5.480372
202715_at  	   8.243068	 8.126959	 8.191898	 8.454153	 8.105351
202725_at  	    6.45355	 6.218929	 6.222952	 6.511286	 6.774803
